Rubro,DECILES,pctjGasto2020,gasto2022,gastoprom2022,pctjGasto2022
Alimentos y similares,I,0.44484969,6870.43136,15237.76251,0.450881903
Vestido y calzado,I,0.021680554,307.7734679,15237.76251,0.020198075
"Vivienda, combustibles, energía",I,0.167665818,2331.715901,15237.76251,0.153022197
"Limpieza, cuidados de la casa, muebles",I,0.058614543,861.0757786,15237.76251,0.056509332
Salud,I,0.023067537,283.2780561,15237.76251,0.018590528
"Transporte, vehículos, comunicaciones",I,0.144762986,2490.761218,15237.76251,0.163459774
Educación y esparcimiento,I,0.031200218,623.5509555,15237.76251,0.040921425
Cuidados personales,I,0.08466453,1108.08825,15237.76251,0.072719879
Transferencias,I,0.023494123,361.0875249,15237.76251,0.023696886
Alimentos y similares,II,0.437358238,8819.592335,20712.60395,0.425807994
Vestido y calzado,II,0.019878292,509.157873,20712.60395,0.024582031
"Vivienda, combustibles, energía",II,0.187281136,3037.824651,20712.60395,0.146665511
"Limpieza, cuidados de la casa, muebles",II,0.058306852,1111.438183,20712.60395,0.053659993
Salud,II,0.028617182,596.6704556,20712.60395,0.028807119
"Transporte, vehículos, comunicaciones",II,0.151163878,3500.766046,20712.60395,0.169016221
Educación y esparcimiento,II,0.026607208,812.3602052,20712.60395,0.039220573
Cuidados personales,II,0.075279356,1795.054721,20712.60395,0.08666485
Transferencias,II,0.015507858,529.7394827,20712.60395,0.025575707
Alimentos y similares,III,0.416667131,9665.086522,25334.46713,0.381499499
Vestido y calzado,III,0.018024525,794.9001694,25334.46713,0.031376234
"Vivienda, combustibles, energía",III,0.165751487,3644.235547,25334.46713,0.143844965
"Limpieza, cuidados de la casa, muebles",III,0.065749312,1501.519227,25334.46713,0.059267843
Salud,III,0.031018193,456.9598198,25334.46713,0.01803708
"Transporte, vehículos, comunicaciones",III,0.162715988,5053.151524,25334.46713,0.199457581
Educación y esparcimiento,III,0.046694062,1486.125253,25334.46713,0.058660214
Cuidados personales,III,0.073330439,2209.024208,25334.46713,0.087194422
Transferencias,III,0.020048863,523.4648586,25334.46713,0.020662162
Alimentos y similares,IV,0.39693143,11018.3693,29488.32396,0.373651935
Vestido y calzado,IV,0.022770772,856.4262503,29488.32396,0.029042893
"Vivienda, combustibles, energía",IV,0.159159153,4176.545629,29488.32396,0.141633876
"Limpieza, cuidados de la casa, muebles",IV,0.061943288,1855.77246,29488.32396,0.06293245
Salud,IV,0.03086891,752.1866846,29488.32396,0.02550795
"Transporte, vehículos, comunicaciones",IV,0.179836676,6230.164856,29488.32396,0.211275651
Educación y esparcimiento,IV,0.036647093,1588.687382,29488.32396,0.053875133
Cuidados personales,IV,0.087444292,2160.334347,29488.32396,0.073260669
Transferencias,IV,0.024398385,849.8370564,29488.32396,0.028819442
Alimentos y similares,V,0.400157304,12294.71834,34374.17475,0.35767312
Vestido y calzado,V,0.022026798,992.5061542,34374.17475,0.028873599
"Vivienda, combustibles, energía",V,0.168687094,4378.280256,34374.17475,0.127371211
"Limpieza, cuidados de la casa, muebles",V,0.056643209,1991.228617,34374.17475,0.057928041
Salud,V,0.02895551,533.2820672,34374.17475,0.015514033
"Transporte, vehículos, comunicaciones",V,0.16856373,8393.662535,34374.17475,0.244185136
Educación y esparcimiento,V,0.04708622,2147.802543,34374.17475,0.062483029
Cuidados personales,V,0.085407668,2733.705465,34374.17475,0.079527886
Transferencias,V,0.022472466,908.9887714,34374.17475,0.026443945
Alimentos y similares,VI,0.380359905,14053.07182,37315.61854,0.376600265
Vestido y calzado,VI,0.024787468,1358.921,37315.61854,0.03641695
"Vivienda, combustibles, energía",VI,0.146470491,4954.637302,37315.61854,0.132776502
"Limpieza, cuidados de la casa, muebles",VI,0.063875989,2008.133473,37315.61854,0.053814825
Salud,VI,0.036249861,543.0919224,37315.61854,0.014554011
"Transporte, vehículos, comunicaciones",VI,0.18790207,8147.862717,37315.61854,0.218349931
Educación y esparcimiento,VI,0.059026206,2349.167461,37315.61854,0.062954
Cuidados personales,VI,0.076648823,3037.654841,37315.61854,0.081404381
Transferencias,VI,0.024679187,863.0780043,37315.61854,0.023129136
Alimentos y similares,VII,0.358423491,13137.47269,39688.34878,0.331015855
Vestido y calzado,VII,0.028105253,1234.005046,39688.34878,0.031092376
"Vivienda, combustibles, energía",VII,0.143179534,5036.174483,39688.34878,0.126893021
"Limpieza, cuidados de la casa, muebles",VII,0.056795014,2391.842233,39688.34878,0.060265602
Salud,VII,0.033358527,1358.854908,39688.34878,0.034238132
"Transporte, vehículos, comunicaciones",VII,0.207290396,8533.668958,39688.34878,0.215016982
Educación y esparcimiento,VII,0.058861504,3673.619443,39688.34878,0.09256166
Cuidados personales,VII,0.083704573,2786.905457,39688.34878,0.070219738
Transferencias,VII,0.030281709,1535.805569,39688.34878,0.038696636
Alimentos y similares,VIII,0.30996313,15817.09371,53154.94276,0.297565812
Vestido y calzado,VIII,0.024771206,2102.459746,53154.94276,0.039553419
"Vivienda, combustibles, energía",VIII,0.148806132,5665.525557,53154.94276,0.106585113
"Limpieza, cuidados de la casa, muebles",VIII,0.071864253,3246.224556,53154.94276,0.061070982
Salud,VIII,0.035182036,1653.397037,53154.94276,0.031105236
"Transporte, vehículos, comunicaciones",VIII,0.216025057,11874.42955,53154.94276,0.223392763
Educación y esparcimiento,VIII,0.070007764,7428.193624,53154.94276,0.139746056
