,Sonora en la ENIGH: ,,,,,
,diferencia en ingresos de los hogares 2018-2020,,,,,
,Ingreso promedio mensual en de los hogares ordenados por decil | Pesos constantes de 2020 ,,,,,
,,,,,,
,DECILES,"ENIGH
2018","ENIGH
2020",,"DIFERENCIA
PORCENTUAL",
,ESTATAL,"21,390","20,453",,-4.4%,
,I,"4,323","4,117",,-4.8%,
,II,"7,528","6,877",,-8.6%,
,III,"9,643","8,910",,-7.6%,
,IV,"11,840","11,076",,-6.4%,
,V,"14,188","13,372",,-5.7%,
,VI,"17,156","16,013",,-6.7%,
,VII,"20,530","19,673",,-4.2%,
,VIII,"25,972","24,846",,-4.3%,
,IX,"34,742","33,069",,-4.8%,
,X,"67,971","66,572",,-2.1%,
,"Elaboración Luis Armando Moreno (@dogomoreno) con información de la ENIGH 2020, INEGI.",,,,,
,www.luisarmandomoreno.com,,,,,
