DECILES,CL,CL2,2016,2018,2020,2022,p2016,p2018,p2020,p2022,m2016,m2018,m2020,m2022
I,A,A,15763,14788,14083,16998,0.02,0.02,0.02,0.023,5254.25,4929.22,4694.25,5666.00
II,A,A,25949,25754,23527,28245,0.032,0.035,0.034,0.038,8649.82,8584.61,7842.4,9415.00
III,A,A,33432,32988,30482,36314,0.042,0.045,0.044,0.048,11143.99,10996.17,10160.83,12104.67
IV,A,A,40160,40506,37892,44022,0.05,0.055,0.054,0.058,13386.76,13501.89,12630.7,14674.00
V,A,A,47943,48537,45747,52188,0.06,0.066,0.065,0.069,15981.11,16178.85,15249.12,17396.00
VI,A,B,57462,58693,54781,62225,0.072,0.08,0.078,0.083,19153.9,19564.34,18260.41,20741.67
VII,A,B,68740,70235,67301,74960,0.086,0.096,0.096,0.1,22913.5,23411.82,22433.72,24986.67
VIII,A,B,85295,88850,85001,91865,0.107,0.121,0.121,0.122,28431.74,29616.63,28333.61,30621.67
IX,B,B,116475,118853,113131,119711,0.146,0.162,0.162,0.159,38825.07,39617.6,37710.19,39903.67
X,B,B,308185,232532,227744,226171,0.386,0.318,0.325,0.3,102728.19,77510.52,75914.81,75390.33
